date_min_t;lon_t;lat_t;min_t;hora
2011 11 22 04 45;-73.836;7.487;223.3;04
2011 11 23 03 15;-73.693;7.058;211.8;03
2011 11 23 22 45;-74.693;5.198;203.1;22
2011 11 26 21 45;-73.979;6.199;203.4;21
2011 11 26 23 15;-74.121;7.201;220.4;23
2011 11 27 20 15;-73.836;8.059;225.8;20
2011 11 27 22 15;-73.979;6.199;204.8;22
2011 11 27 21 45;-73.979;6.342;225.9;21
2011 11 28 04 45;-74.693;5.341;227.3;04
2011 11 28 21 45;-73.979;6.628;196.3;21
2011 12 01 22 45;-73.55;7.487;218.9;22
2011 12 03 01 15;-74.121;6.342;222.8;01
2011 12 03 02 15;-73.979;6.772;222.2;02
2011 12 03 05 15;-74.121;7.344;225.4;05
2011 12 04 02 15;-74.264;6.342;224.5;02
2011 12 04 22 15;-74.836;5.341;208.3;22
2011 12 04 23 45;-73.264;7.344;229.2;23
2011 12 05 02 15;-73.836;6.772;219.6;02
2011 12 05 04 45;-73.693;7.058;209.6;04
2011 12 06 23 15;-73.693;7.63;206.4;23
2011 12 06 23 15;-73.836;6.628;228.3;23
2011 12 08 02 45;-73.693;8.059;219.2;02
2011 12 09 00 15;-74.836;5.627;215.5;00
2011 12 11 02 45;-74.693;5.484;199.3;02
2011 12 11 01 45;-73.836;8.059;206.1;01
2011 12 12 00 45;-74.836;5.77;192.6;00
2011 12 12 23 15;-73.55;7.773;204.9;23
2011 12 12 23 45;-73.55;7.773;204.6;23
2011 12 13 23 45;-74.836;5.484;207.5;23
2011 12 14 04 15;-73.55;7.773;213.8;04
2011 12 15 22 45;-74.836;5.341;204.4;22
2011 12 15 21 45;-73.979;6.915;217.6;21
2011 12 16 21 15;-73.264;7.63;211.2;21
2011 12 18 22 15;-74.836;5.77;211.1;22
2011 12 19 04 15;-73.55;7.63;207.3;04
2011 12 19 23 15;-74.836;5.627;205.8;23
2011 12 24 21 15;-74.836;5.198;203.8;21
2011 12 26 01 15;-74.693;5.77;227.6;01
2011 12 27 00 45;-74.836;5.913;214.8;00
2011 12 28 03 45;-73.979;6.199;217.3;03
2011 12 30 00 45;-74.836;5.77;209.0;00
2011 12 29 22 15;-74.836;5.627;218.7;22
