date_min_t;lon_t;lat_t;min_t;hora
2012 02 11 07 15;-74.264;6.056;225.9;07
2012 02 12 19 45;-73.407;7.344;205.0;19
2012 03 15 18 15;-74.121;7.058;198.8;18
2012 03 15 18 45;-74.121;7.058;199.7;18
2012 03 19 17 45;-73.693;8.059;215.2;17
2012 03 20 10 15;-73.407;7.344;218.4;10
2012 03 20 16 15;-73.693;6.772;220.0;16
2012 03 23 16 45;-74.121;7.201;208.6;16
2012 03 23 16 45;-73.55;8.202;222.2;16
2012 03 23 18 15;-73.264;7.487;222.6;18
2012 03 24 09 45;-74.836;5.913;225.3;09
2012 03 24 17 15;-73.979;7.344;205.0;17
2012 03 24 19 15;-73.407;7.773;202.5;19
2012 03 26 07 45;-73.693;6.485;206.7;07
2012 03 28 18 15;-74.121;7.344;200.3;18
2012 04 01 17 15;-73.693;7.344;199.0;17
2012 04 06 06 15;-73.836;7.058;199.3;06
2012 04 05 18 15;-73.979;8.202;218.4;18
2012 04 06 14 15;-74.407;6.199;221.4;14
2012 04 06 16 45;-74.693;5.341;214.1;16
2012 04 06 17 15;-74.264;6.342;224.1;17
2012 04 08 19 15;-73.55;8.202;210.7;19
2012 04 09 07 15;-73.836;6.915;227.5;07
2012 04 11 15 15;-73.55;7.344;213.6;15
2012 04 11 14 15;-74.55;6.772;215.7;14
2012 04 11 16 45;-74.836;5.055;217.5;16
2012 04 11 19 15;-74.407;6.485;225.4;19
2012 04 13 17 45;-73.55;8.202;206.3;17
2012 04 14 09 45;-74.407;6.056;222.4;09
2012 04 18 16 45;-74.407;6.915;226.6;16
2012 04 26 14 45;-74.693;5.341;212.8;14
2012 04 27 14 45;-74.693;5.341;215.2;14
2012 05 01 18 15;-73.264;7.63;206.0;18
2012 05 07 06 15;-73.836;7.344;193.5;06
2012 05 14 16 15;-73.979;6.485;197.7;16
2012 05 15 18 45;-74.407;6.772;216.7;18
2012 05 16 12 45;-74.55;5.913;215.3;12
2012 05 22 15 15;-73.55;8.202;212.0;15
2012 05 22 16 45;-73.979;6.199;210.8;16
2012 05 25 13 45;-73.979;6.199;202.4;13
2012 05 31 06 15;-73.979;6.199;209.2;06
2012 05 31 08 15;-73.836;6.915;203.4;08
2012 06 01 17 15;-73.693;8.345;199.4;17
2012 06 02 12 15;-74.407;6.915;219.6;12
2012 06 02 19 15;-73.693;7.344;190.5;19
2012 06 02 14 45;-73.693;8.202;222.1;14
2012 06 09 18 15;-73.55;7.773;216.3;18
2012 06 10 16 15;-73.55;6.772;206.4;16
2012 06 10 15 15;-73.407;7.916;222.0;15
2012 06 11 19 15;-73.836;7.773;187.3;19
2012 06 14 15 45;-73.693;8.059;201.6;15
2012 06 14 13 45;-73.264;7.487;223.9;13
2012 06 14 16 15;-73.836;8.059;201.6;16
2012 06 15 14 45;-73.264;7.63;220.7;14
2012 06 18 19 45;-73.407;7.63;201.7;19
2012 06 19 19 45;-73.836;8.345;223.9;19
2012 06 21 13 15;-73.55;8.059;228.6;13
2012 06 23 08 15;-74.121;7.344;205.8;08
2012 06 23 08 15;-74.121;7.344;205.8;08
2012 06 23 06 15;-74.407;6.915;212.3;06
2012 06 23 16 15;-73.55;8.059;219.6;16
2012 06 26 14 45;-73.693;6.628;216.3;14
2012 07 07 13 45;-73.55;6.772;212.6;13
2012 07 07 14 15;-73.55;7.916;218.8;14
2012 07 10 06 15;-74.407;6.628;202.9;06
2012 07 16 17 45;-73.407;7.916;207.0;17
2012 07 17 19 45;-73.407;7.63;226.1;19
2012 07 23 15 45;-73.55;7.344;202.8;15
2012 07 24 18 45;-74.121;6.056;215.0;18
2012 07 25 15 45;-73.693;8.202;228.8;15
2012 07 28 16 45;-73.836;6.485;228.3;16
2012 08 04 15 15;-73.55;8.202;201.2;15
2012 08 09 17 15;-74.121;7.63;196.1;17
2012 08 09 13 45;-73.55;6.915;224.2;13
2012 08 10 17 45;-73.693;8.202;205.1;17
2012 08 11 16 45;-73.693;8.059;202.6;16
2012 08 12 14 45;-73.407;7.487;203.9;14
2012 08 13 07 15;-74.264;6.772;207.7;07
2012 08 16 17 15;-73.55;6.915;214.7;17
2012 08 18 19 15;-74.407;5.913;204.9;19
2012 08 19 12 45;-73.693;8.345;228.4;12
2012 08 21 16 45;-73.55;6.915;210.6;16
2012 08 22 15 45;-73.55;7.63;229.3;15
2012 08 23 17 15;-73.264;7.63;209.3;17
2012 08 24 17 45;-73.693;6.628;216.9;17
2012 08 31 16 15;-73.264;7.344;210.5;16
2012 09 03 15 45;-73.693;8.202;222.3;15
2012 09 04 18 45;-73.836;7.058;217.9;18
2012 09 06 16 15;-73.264;7.63;225.8;16
2012 09 09 17 45;-73.264;7.63;206.0;17
2012 09 11 15 45;-73.693;6.628;211.8;15
2012 09 11 15 45;-73.693;6.628;211.8;15
2012 09 16 17 15;-73.407;7.058;199.7;17
2012 09 17 18 15;-74.407;6.915;192.5;18
2012 09 21 18 45;-73.407;7.773;198.2;18
2012 10 19 19 45;-73.979;6.485;205.4;19
2012 10 20 18 15;-74.407;5.913;210.2;18
2012 10 21 15 15;-73.264;7.487;220.7;15
2012 10 24 18 45;-73.55;7.201;187.2;18
2012 10 24 14 15;-74.55;5.627;205.2;14
2012 10 26 17 15;-73.693;8.202;221.1;17
2012 10 29 14 15;-73.55;8.202;210.1;14
2012 10 30 17 45;-74.121;6.199;193.0;17
2012 11 05 16 45;-74.121;6.199;210.7;16
2012 11 07 07 15;-74.121;7.058;219.8;07
2012 11 09 17 45;-74.121;7.058;210.2;17
2012 11 10 17 15;-74.121;7.058;215.0;17
2012 11 13 18 15;-73.836;7.344;227.7;18
2012 11 14 06 45;-74.121;6.056;218.2;06
2012 11 17 17 15;-73.979;7.773;221.2;17
2012 11 22 06 45;-73.55;7.344;213.7;06
2012 11 26 06 15;-74.836;5.484;211.9;06
2012 11 26 16 15;-73.979;6.342;228.4;16
2012 12 20 15 45;-74.121;7.63;211.2;15
2012 12 20 17 45;-74.55;6.772;214.4;17
2012 12 21 17 45;-74.264;6.915;224.5;17
2012 12 22 19 45;-73.836;7.63;202.8;19
2012 12 24 14 45;-73.979;8.202;217.7;14
2012 12 25 17 45;-74.121;7.344;214.7;17
2013 02 02 16 15;-73.407;7.916;210.9;16
2013 02 05 17 45;-73.55;7.773;223.9;17
2013 02 07 18 15;-73.693;7.916;216.1;18
2013 02 08 17 15;-73.264;7.63;225.8;17
2013 02 10 18 45;-74.55;6.772;210.1;18
2013 02 27 17 45;-73.407;7.916;207.8;17
2013 02 28 18 45;-74.121;7.344;219.3;18
2013 03 03 18 45;-73.836;7.058;226.1;18
2013 03 05 06 45;-73.979;8.202;217.8;06
2013 03 06 13 45;-74.693;5.055;220.2;13
2013 03 06 18 45;-74.407;6.915;230.0;18
2013 03 08 06 15;-73.979;7.63;213.2;06
2013 03 12 19 45;-74.121;7.63;222.5;19
2013 03 13 06 15;-73.264;7.487;223.3;06
2013 03 13 09 15;-73.55;7.773;208.2;09
2013 03 13 19 45;-73.979;7.201;209.6;19
2013 03 14 07 45;-73.836;6.485;207.0;07
2013 03 14 13 15;-73.979;7.63;215.1;13
2013 03 15 06 45;-74.407;6.056;203.4;06
2013 03 17 07 45;-73.693;7.344;196.7;07
2013 03 18 16 15;-73.407;7.916;216.2;16
2013 03 18 18 45;-73.407;7.058;202.4;18
2013 03 19 17 15;-73.55;7.63;205.5;17
2013 03 19 16 45;-73.55;7.773;205.7;16
2013 03 19 18 45;-73.693;6.628;208.6;18
2013 03 20 10 45;-73.979;7.058;217.9;10
2013 03 24 17 15;-73.693;8.202;210.8;17
2013 03 27 09 15;-74.121;7.058;215.2;09
2013 03 27 10 45;-73.693;7.201;215.1;10
2013 03 27 17 15;-73.55;8.202;209.8;17
2013 03 30 16 15;-73.693;8.345;203.4;16
2013 03 30 19 15;-73.264;7.487;221.0;19
2013 03 31 15 45;-73.836;8.345;212.3;15
2013 04 04 06 15;-74.55;6.199;225.9;06
2013 04 04 07 15;-73.979;7.487;213.2;07
2013 04 04 15 45;-73.693;8.202;224.9;15
2013 04 06 06 45;-74.264;6.199;204.2;06
2013 04 06 08 15;-74.836;5.77;205.5;08
2013 04 06 13 45;-73.693;6.772;226.2;13
2013 04 12 17 45;-74.407;5.77;208.3;17
2013 04 12 17 15;-74.836;5.341;213.4;17
2013 04 14 16 45;-73.407;7.773;194.7;16
2013 04 15 16 45;-74.264;6.199;199.0;16
2013 04 15 14 45;-74.407;5.913;217.6;14
2013 04 16 16 45;-73.55;7.058;227.4;16
2013 04 20 17 15;-74.55;6.772;204.1;17
2013 04 23 18 45;-74.55;6.772;208.1;18
2013 04 24 08 45;-73.836;7.058;226.6;08
2013 04 24 15 45;-73.264;7.63;199.7;15
2013 04 24 14 45;-73.264;7.487;225.9;14
2013 04 26 15 15;-74.121;7.201;190.3;15
2013 05 01 14 45;-73.55;7.487;190.8;14
2013 05 04 11 45;-74.407;7.058;228.8;11
2013 05 04 18 15;-73.264;7.487;227.6;18
2013 05 06 17 45;-73.407;7.201;199.7;17
2013 05 09 07 45;-74.836;5.627;211.8;07
2013 05 09 07 45;-74.836;5.627;211.8;07
2013 05 12 18 45;-74.264;7.058;210.7;18
2013 05 13 07 45;-74.264;6.915;219.2;07
2013 05 15 19 45;-73.55;8.059;197.0;19
2013 05 16 19 15;-73.55;8.059;213.9;19
2013 05 18 18 15;-74.55;5.627;224.5;18
2013 06 10 18 45;-73.407;7.773;199.5;18
2013 06 11 17 15;-74.407;5.77;225.1;17
2013 06 14 14 15;-73.55;6.915;203.0;14
2013 06 15 08 45;-74.407;7.058;211.0;08
2013 06 16 16 15;-73.55;8.202;212.5;16
2013 07 04 17 15;-73.55;8.059;203.6;17
2013 07 05 14 45;-73.693;6.628;219.6;14
2013 07 05 18 45;-73.55;8.059;203.6;18
2013 07 05 16 45;-73.264;7.487;228.4;16
2013 07 07 15 45;-73.55;6.915;217.9;15
2013 07 10 13 15;-73.979;6.628;211.1;13
2013 07 10 14 45;-74.121;6.342;202.8;14
2013 07 10 14 45;-73.55;8.059;208.9;14
2013 07 15 06 45;-74.407;6.915;204.0;06
2013 07 20 18 45;-73.979;7.487;217.6;18
2013 07 29 18 15;-73.693;8.345;193.6;18
2013 07 29 15 15;-73.407;7.916;226.2;15
2013 07 29 16 15;-73.407;7.487;207.8;16
2013 07 30 15 45;-73.407;7.201;219.2;15
2013 08 02 16 45;-74.693;5.341;218.9;16
2013 08 02 19 45;-73.979;6.199;213.6;19
2013 08 04 17 15;-73.836;6.485;200.0;17
2013 08 06 06 15;-73.979;6.915;211.6;06
2013 08 07 15 15;-73.693;8.345;201.7;15
2013 08 09 15 45;-73.836;6.628;217.7;15
2013 08 09 18 15;-73.407;7.63;214.7;18
2013 08 17 13 45;-73.407;7.487;199.1;13
2013 08 17 12 45;-73.55;7.916;221.0;12
2013 08 17 13 45;-73.979;6.199;228.1;13
2013 08 18 15 45;-74.693;5.627;216.4;15
2013 08 20 17 45;-73.407;7.344;213.0;17
2013 08 23 09 15;-73.836;7.773;225.2;09
2013 08 23 15 15;-73.407;7.773;222.3;15
2013 08 29 14 45;-73.836;6.485;207.7;14
2013 08 29 17 15;-74.121;6.199;204.0;17
